# AGCNr    HIra         HIdec       v21     redshift               dist    w50   flux   snratio   loghimass   groupid   gra            gdec          gz           Mhalo_L   Mhalo_M   ngal   r180L                d_A_mpc              r180_arcmin          galid    ra              dec            z           MASS           
  260091   241.125443   17.475      11907   0.03969                138.7   251   1.61   8.8       9.86        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   161.69775374815785   68.27529536750463    481407   241.126697094   17.469173144   0.0396085   1.68491131E10  
  260112   241.185013   17.441944   10627   0.035423333333333334   115.3   246   2.86   14.1      9.95        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   145.46731638288728   75.89307462274903    481405   241.189254336   17.448417017   0.0354718   2.75204628E10  
  260114   241.202515   17.3575     10612   0.03537333333333333    152.8   268   1.95   10.9      10.03       4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   145.19431173323235   76.03577416793978    481413   241.198108819   17.347772098   0.0354025   6.6552095E9    
  260165   241.374176   17.765556   11187   0.03729                161.0   276   2.03   9.3       10.09       4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   152.62525413275867   72.33378224428422    474711   241.377624953   17.768647793   0.0372921   2.63336325E10  
  260191   241.442093   17.583334   12147   0.04049                174.8   98    1.11   9.6       9.9         4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   165.27020168397527   66.79947010972847    469858   241.439713961   17.582413106   0.0405286   5.3122749E9    
  260189   241.443756   17.304998   10907   0.03635666666666667    157.0   130   1.09   7.8       9.8         4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   148.92182177214218   74.13260035395751    481422   241.445874663   17.307403113   0.0363495   3.69624218E9   
  260197   241.471252   17.343613   10303   0.03434333333333333    148.4   173   1.24   8.4       9.81        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   140.8106018315058    78.40291678199019    481423   241.47511152    17.340929948   0.034291    5.4677443E9    
  720880   241.679169   17.442778   10794   0.03598                155.4   206   1.26   7.4       9.86        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   147.4646926567739    74.86511990441785    469866   241.682792722   17.441697769   0.0359791   2.65964109E9   
  260240   241.707916   17.495834   11160   0.0372                 160.6   159   1.17   8.0       9.85        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   152.51180737294632   72.38758813224749    469865   241.701156543   17.492787506   0.0372632   1.47570135E10  
  720941   242.365845   17.096111   10421   0.034736666666666666   150.0   288   1.44   7.9       9.88        4         241.40029673   17.85792587   0.03651612   14.9558   14.829    320    3.2113947400775986   142.45041888797672   77.50038212312559    469879   242.357535168   17.099562996   0.0347065   6.1874877E9    
